0.005,135.6
0.01,102.4
0.015,95.4
0.02,96.1
0.025,101.6
0.03,93.6
0.035,93.1
0.04,95.6
0.045,104.3
0.05,100.7
0.055,95.0
0.06,93.2
0.065,93.5
0.07,91.2
0.075,93.2
0.08,93.9
0.085,93.2
0.09,92.7
0.095,93.2
0.1,91.5
0.105,92.0
0.11,92.8
0.115,93.0
0.12,92.6
0.125,92.6
0.13,94.2
0.135,92.9
0.14,95.7
0.145,92.0
0.15,92.9
0.155,90.1
0.16,90.5
0.165,91.4
0.17,93.1
0.175,93.7
0.18,96.7
0.185,95.1
0.19,92.0
0.195,91.0
0.2,90.5
0.205,91.4
0.21,90.9
0.215,91.6
0.22,90.8
0.225,92.1
0.23,92.0
0.235,92.3
0.24,91.2
0.245,91.0
0.25,91.5
0.255,200.3
0.26,200.2
0.265,200.5
0.27,201.1
0.275,203.1
0.28,200.9
0.285,200.6
0.29,200.8
0.295,200.5
0.3,202.3
0.305,200.9
0.31,200.9
0.315,201.0
0.32,200.4
0.325,200.8
0.33,200.8
0.335,200.3
0.34,200.4
0.345,200.5
0.35,203.8
0.355,200.3
0.36,200.6
0.365,201.4
0.37,200.9
0.375,200.5
0.38,200.7
0.385,200.5
0.39,200.8
0.395,200.6
0.4,201.3
0.405,200.5
0.41,200.6
0.415,200.7
0.42,200.7
0.425,203.3
0.43,200.9
0.435,200.8
0.44,200.5
0.445,200.7
0.45,200.5
0.455,201.0
0.46,200.6
0.465,202.3
0.47,200.6
0.475,200.4
0.48,200.3
0.485,200.4
0.49,201.0
0.495,201.1
0.5,203.4
